Date : 2020-12-13 14:18:05
Directory : /Volumes/Workspace/Web Dev/Tarot/TarotV3
Total : 118 files,  33710 codes, 144 comments, 417 blanks, all 34271 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     30,402 |         10 |          4 |     30,416 |
| JavaScript |         47 |      2,155 |         67 |        236 |      2,458 |
| SCSS       |         23 |        428 |         39 |         91 |        558 |
| XML        |         30 |        371 |          0 |          1 |        372 |
| CSS        |          9 |        246 |          1 |         41 |        288 |
| Markdown   |          1 |         37 |          0 |         32 |         69 |
| HTML       |          1 |         37 |         23 |          8 |         68 |
| YAML       |          2 |         34 |          4 |          4 |         42 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        118 |     33,710 |        144 |        417 |     34,271 |
| .github                                                                                                   |          2 |         34 |          4 |          4 |         42 |
| .github/workflows                                                                                         |          2 |         34 |          4 |          4 |         42 |
| public                                                                                                    |          2 |         62 |         23 |          9 |         94 |
| src                                                                                                       |        109 |      3,200 |        107 |        369 |      3,676 |
| src/assets                                                                                                |         12 |        195 |          0 |          0 |        195 |
| src/assets/icons                                                                                          |         12 |        195 |          0 |          0 |        195 |
| src/components                                                                                            |         68 |      1,417 |         51 |        217 |      1,685 |
| src/components/color-comp                                                                                 |          4 |        149 |          4 |         27 |        180 |
| src/components/color-result                                                                               |          2 |         27 |          3 |         10 |         40 |
| src/components/composer-pane                                                                              |          3 |         87 |          3 |         15 |        105 |
| src/components/custom-button                                                                              |          2 |         12 |          0 |          3 |         15 |
| src/components/delete-palette                                                                             |          2 |         36 |          0 |         10 |         46 |
| src/components/editor                                                                                     |          2 |         96 |          9 |         15 |        120 |
| src/components/form-input                                                                                 |          2 |         44 |         12 |          5 |         61 |
| src/components/helper                                                                                     |          2 |         10 |          0 |          5 |         15 |
| src/components/icons                                                                                      |         25 |        313 |          0 |         15 |        328 |
| src/components/icons/icon-components                                                                      |          7 |        138 |          0 |         14 |        152 |
| src/components/icons/svg                                                                                  |         17 |        169 |          0 |          0 |        169 |
| src/components/menu                                                                                       |          2 |         81 |          2 |         10 |         93 |
| src/components/palette                                                                                    |          3 |        153 |          4 |         25 |        182 |
| src/components/palette-color                                                                              |          2 |         13 |          3 |          2 |         18 |
| src/components/rename-palette                                                                             |          2 |         43 |          0 |         11 |         54 |
| src/components/result-pane                                                                                |          2 |         26 |          0 |          7 |         33 |
| src/components/save-palette-popup                                                                         |          2 |         85 |          1 |         13 |         99 |
| src/components/saved-palettes                                                                             |          2 |         63 |          5 |         13 |         81 |
| src/components/search-bar                                                                                 |          2 |          9 |          0 |          6 |         15 |
| src/components/submit                                                                                     |          2 |         18 |          0 |          2 |         20 |
| src/components/top-bar                                                                                    |          4 |         82 |          1 |         18 |        101 |
| src/components/user-menu                                                                                  |          1 |         70 |          4 |          5 |         79 |
| src/firebase                                                                                              |          1 |         82 |          5 |         11 |         98 |
| src/pages                                                                                                 |          9 |        573 |          6 |         79 |        658 |
| src/pages/account                                                                                         |          1 |         73 |          3 |          8 |         84 |
| src/pages/sign-in                                                                                         |          1 |         68 |          0 |          8 |         76 |
| src/pages/splash                                                                                          |          2 |         34 |          0 |          7 |         41 |
| src/pages/tarot                                                                                           |          5 |        398 |          3 |         56 |        457 |
| src/redux                                                                                                 |          6 |         32 |          0 |         12 |         44 |
| src/redux/composer                                                                                        |          4 |          8 |          0 |          4 |         12 |
| src/styles                                                                                                |          2 |          0 |          0 |          2 |          2 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/.github/workflows/firebase-hosting-merge.yml                     | YAML       |         19 |          2 |          2 |         23 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/.github/workflows/firebase-hosting-pull-request.yml              | YAML       |         15 |          2 |          2 |         19 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/README.md                                                        | Markdown   |         37 |          0 |         32 |         69 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/firebase.json                                                    | JSON       |         11 |         10 |          0 |         21 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/firestore.indexes.json                                           | JSON       |          4 |          0 |          1 |          5 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/package-lock.json                                                | JSON       |     30,314 |          0 |          1 |     30,315 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/package.json                                                     | JSON       |         48 |          0 |          1 |         49 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/public/index.html                                                | HTML       |         37 |         23 |          8 |         68 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/public/manifest.json                                             | JSON       |         25 |          0 |          1 |         26 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/App.js                                                       | JavaScript |         16 |          0 |          4 |         20 |
